GeoJSON URL,Display Name,Description,Color
geodata/SavannaBio-Limpopo-2a.geojson,Limpopo 2A,NASA LVIS-F 2023 Flight Plan - CMS SavannaBio,blue
geodata/SavannaBio-Limpopo-2b.geojson,Limpopo 2B,NASA LVIS-F 2023 Flight Plan - CMS SavannaBio,blue
geodata/SavannaBio-Kruger.geojson,Kruger National Park,NASA LVIS-F 2023 Flight Plan - CMS SavannaBio,green
